,Cooling System 1 Flow,Fuel System 2  Injector Flow,Cooling System 2 Flow,Fuel System 1  Injector Flow,Fuel System 2  Service Flow,Fuel System 1  Service Flow,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow
246,6.25,7.146,6.46,6.896,10.548,11.109,5.88,6.897
247,6.451,7.14,6.46,6.896,10.548,11.109,5.88,6.893
248,6.451,7.14,6.666,6.897,10.524,11.106,5.882,6.893
249,6.451,7.14,6.666,6.897,10.524,11.106,5.882,6.893
250,6.451,7.142,6.666,6.897,10.528,10.528,5.882,6.893
251,6.251,7.142,6.668,6.895,10.528,10.528,6.061,6.452
252,6.251,7.142,6.668,6.895,10.531,11.109,6.061,6.452
253,6.251,7.143,6.668,6.895,10.531,11.109,6.061,6.452
254,6.25,7.143,6.452,6.898,10.526,10.524,6.061,6.668
255,6.25,7.143,6.452,6.898,10.526,10.524,6.061,6.668
256,6.25,7.143,6.452,6.898,10.141,10.528,6.061,6.668
257,6.249,7.143,6.666,6.897,10.141,11.111,6.061,6.451
258,6.249,7.143,6.666,6.897,10.94,11.111,6.061,6.451
259,6.249,7.143,6.666,6.897,10.94,11.111,6.061,6.451
260,6.452,7.143,6.45,6.666,10.522,11.111,6.061,6.897
261,6.452,7.385,6.45,6.666,10.522,10.528,6.059,6.897
262,6.452,7.385,6.45,6.666,10.522,10.528,6.059,6.897
263,6.251,7.385,6.666,6.895,10.533,11.106,6.059,6.897
264,6.251,7.167,6.666,6.895,10.533,11.106,5.882,6.897
265,6.251,7.167,6.666,6.895,10.516,10.531,5.882,6.617
266,6.25,7.167,6.452,7.144,10.516,10.531,5.882,6.617
267,6.25,7.692,6.452,7.144,10.535,11.111,5.882,6.617
268,6.25,7.692,6.452,7.121,10.535,11.111,6.06,6.617
269,6.25,7.369,6.453,7.121,11.116,10.524,6.06,6.552
270,6.252,7.369,6.453,7.121,11.116,11.111,6.06,6.552
271,6.252,7.369,6.453,6.918,10.0,11.111,6.063,6.552
272,6.252,7.177,6.668,6.918,10.0,10.526,6.063,6.613
273,6.247,7.177,6.668,6.918,10.524,10.526,6.063,6.613
274,6.247,7.177,6.668,6.895,10.524,11.114,5.882,6.897
275,6.247,7.407,6.603,6.895,11.099,11.114,5.882,6.897
276,6.251,7.407,6.603,6.895,11.099,10.524,5.882,6.897
277,6.251,7.407,6.603,6.668,10.537,10.524,5.882,6.666
278,6.251,7.144,6.512,6.668,10.537,11.109,6.061,6.666
279,6.251,7.144,6.512,6.668,10.522,11.109,6.061,6.666
280,6.251,7.144,6.512,6.897,10.522,10.528,6.061,7.141
281,6.251,7.143,6.453,6.897,10.008,11.111,6.058,7.141
282,6.437,7.143,6.453,6.897,10.516,11.111,6.058,7.141
283,6.437,7.145,6.453,6.667,10.516,10.528,6.058,6.667
284,6.437,7.145,6.666,6.667,11.116,10.528,5.884,6.667
285,6.437,7.145,6.666,6.667,11.116,11.116,5.884,6.667
286,6.264,7.404,6.666,6.897,10.531,11.116,5.884,6.668
287,6.264,7.404,6.449,6.897,10.531,10.524,5.884,6.668
288,6.264,7.404,6.449,6.897,10.52,10.524,6.062,6.668
289,6.25,7.411,6.449,6.898,10.52,11.097,6.062,6.86
290,6.25,7.411,6.449,6.898,10.531,11.097,6.062,6.86
291,6.25,7.404,6.667,6.898,10.531,10.537,5.882,6.86
292,6.249,7.404,6.667,6.897,10.524,10.537,5.882,6.701
293,6.249,7.404,6.667,6.897,10.524,10.87,5.882,6.701
