,Energy Storage  DC Current ,Cooling System 1 Heater Input Temperature ,Propulsion System 1 Speed,Propulsion System 2 Speed ,Energy Storage Battery Temperature,Fuel System 1 Injection command ,Fuel System 2  Injection command ,Energy Storage Battery Bank Voltage,Cooling System 2  Heater Output Temperature,Cooling System 2 Heater Input Temperature ,Cooling System 1 Heater Output Temperature,Cooling System  Ocean Tank Temperature,Cooling System  Used H20 Tank,Empty- CRIO1_Slot_5_Channel_21,Empty- CRIO1_Slot_5_Channel_22,Empty- CRIO1_Slot_5_Channel_23,Fuel System 1 High Pressure Rail,Fuel System 2  High Pressure Rail,Propulsion System 1 DC Load Current ,Mission System 1  Voltage DC,Propulsion System 2 Voltage DC,Propulsion System 2 DC load Current ,Propulsion System 1 Voltage DC ,Mission System 2  Voltage DC
60,-0.69,35.89944444444444,20.178,20.25,45.19921703296703,8.04,8.105,1.1110849056603787,33.278181818181814,32.17294964028777,33.35904109589042,29.52926829268292,31.677083333333332,0.0,0.001,0.001,166.35,148.75,-0.16,104.60000000000001,4.531000000000001,0.06,30.244999999999997,102.45
61,-0.99,33.546388888888885,19.284,20.178,45.19921703296703,8.007,8.099,1.1063679245283025,33.572867132867124,31.888345323741007,32.85246575342466,29.66710801393728,31.82638888888889,0.001,0.004,0.0,166.15000000000003,144.1,-0.16,103.49999999999999,5.497,-0.53,2.645,103.60000000000001
62,-0.48,33.03874999999999,19.614,19.542,45.184821428571425,8.058,8.058,1.1077830188679254,32.38811188811189,33.37323741007194,33.98342465753425,29.84090592334495,32.18472222222222,0.001,-0.001,0.0,165.89999999999998,144.6,-0.15,98.75,10.626000000000001,0.09,4.577,102.35000000000001
63,-0.03,32.94916666666666,19.716,20.16,45.186620879120866,8.005,8.112,1.115801886792454,33.74727272727272,33.73208633093525,34.37808219178083,30.146550522648084,32.125,0.001,-0.012,0.0,165.09999999999997,142.25,-0.18,104.80000000000001,3.473,0.04,11.247,102.69999999999999
64,-0.3,33.00291666666666,19.644,19.812,45.184821428571425,8.095,8.09,1.1117924528301897,34.12615384615384,33.651654676258985,34.46054794520548,30.41623693379791,32.41763888888889,0.001,0.002,0.001,172.25,141.55,-0.22999999999999998,104.35000000000001,6.486,0.06,9.613999999999999,101.1
65,-0.38999999999999996,33.09847222222221,20.232,20.61,45.20821428571428,8.01,8.052,1.1091981132075475,33.98181818181818,33.37942446043165,34.37219178082192,30.22445993031359,32.28625,0.001,0.0,0.001,159.64999999999998,147.4,-0.16,104.15,6.624,0.1,-4.324,102.60000000000001
66,-0.36,32.93124999999999,19.962,20.46,45.20461538461538,7.942,8.08,1.114386792452831,33.87958041958041,33.292805755395676,34.33095890410959,30.242439024390244,32.88944444444444,0.001,0.005,0.0,160.1,147.15,-0.12,102.8,172.77599999999998,-0.15,5.819,102.35000000000001
67,-0.48,32.02944444444444,20.1,20.1,45.19921703296703,7.789,8.166,1.1037735849056611,33.9276923076923,33.36086330935252,34.50178082191781,30.42222996515679,33.13430555555556,0.001,0.004,0.0,160.0,150.55,-0.2,104.4,8.395,1.8199999999999998,4.278,103.85
68,-0.6599999999999999,31.84430555555555,20.52,19.932000000000002,45.20461538461538,8.013,8.138,1.116509433962264,33.9276923076923,34.870503597122294,34.50767123287671,30.76383275261324,32.84166666666667,0.001,0.001,0.001,158.8,155.10000000000002,-0.13,104.4,6.646999999999999,0.10999999999999999,11.983,102.60000000000001
69,-0.8099999999999999,32.49527777777777,19.932000000000002,20.214000000000002,45.20461538461538,8.037,8.042,1.1155660377358503,35.094405594405586,33.75064748201439,34.79041095890411,30.895679442508712,33.140277777777776,0.001,-0.001,0.001,159.39999999999998,151.6,-0.13,104.95000000000002,7.176,0.14,6.095000000000001,103.3
